path	boundary	reference_count	classification
/Users/jim/code/oak/oak-mcp-ecosystem/.agent/directives/testing-strategy.md	B1-Governance	10	normative-or-truth-source
/Users/jim/code/oak/oak-mcp-ecosystem/packages/sdks/oak-curriculum-sdk/src/mcp/ontology-data.ts	B3-Domain-Data	5	normative-or-truth-source
/Users/jim/code/oak/oak-mcp-ecosystem/.agent/directives/practice.md	B1-Governance	4	normative-or-truth-source
/Users/jim/code/oak/oak-mcp-ecosystem/.agent/directives/AGENT.md	B1-Governance	4	normative-or-truth-source
/Users/jim/code/oak/oak-mcp-ecosystem/packages/sdks/oak-curriculum-sdk/README.md	B0/B4-Cross-Boundary	3	supporting-context
/Users/jim/code/oak/oak-mcp-ecosystem/CONTRIBUTING.md	B0/B4-Cross-Boundary	3	supporting-context
/Users/jim/code/oak/oak-mcp-ecosystem/.cursor/commands/jc-start-right.md	B1-Governance	3	normative-or-truth-source
/Users/jim/code/oak/oak-mcp-ecosystem/.agent/skills/start-right/SKILL.md	B1-Governance	3	normative-or-truth-source
/Users/jim/code/oak/oak-mcp-ecosystem/.agent/prompts/start-right.prompt.md	B1-Governance	3	normative-or-truth-source
/Users/jim/code/oak/oak-mcp-ecosystem/.agent/directives/schema-first-execution.md	B1-Governance	3	normative-or-truth-source
/Users/jim/code/oak/oak-mcp-ecosystem/packages/libs/logger/README.md	B0/B4-Cross-Boundary	2	supporting-context
/Users/jim/code/oak/oak-mcp-ecosystem/apps/oak-search-cli/README.md	B0/B4-Cross-Boundary	2	supporting-context
/Users/jim/code/oak/oak-mcp-ecosystem/apps/oak-curriculum-mcp-streamable-http/README.md	B0/B4-Cross-Boundary	2	supporting-context
/Users/jim/code/oak/oak-mcp-ecosystem/apps/oak-curriculum-mcp-stdio/README.md	B0/B4-Cross-Boundary	2	supporting-context
/Users/jim/code/oak/oak-mcp-ecosystem/README.md	B0/B4-Cross-Boundary	2	supporting-context
/Users/jim/code/oak/oak-mcp-ecosystem/.agent/prompts/GO.md	B1-Governance	2	normative-or-truth-source
/Users/jim/code/oak/oak-mcp-ecosystem/.agent/plans/high-level-plan.md	B5-Historical-Provenance	2	provenance-only
/Users/jim/code/oak/oak-mcp-ecosystem/.agent/directives/rules.md	B1-Governance	2	normative-or-truth-source
/Users/jim/code/oak/oak-mcp-ecosystem/LICENCE-DATA.md	B0/B4-Cross-Boundary	1	supporting-context
/Users/jim/code/oak/oak-mcp-ecosystem/.cursor/skills/napkin/SKILL.md	B1-Governance	1	normative-or-truth-source
/Users/jim/code/oak/oak-mcp-ecosystem/.cursor/skills/distillation/SKILL.md	B1-Governance	1	normative-or-truth-source
/Users/jim/code/oak/oak-mcp-ecosystem/.agent/plans/icebox/serverless-hosting-plan.md	B5-Historical-Provenance	1	provenance-only
/Users/jim/code/oak/oak-mcp-ecosystem/.agent/plans/external/ooc-api-wishlist/index.md	B5-Historical-Provenance	1	provenance-only
/Users/jim/code/oak/oak-mcp-ecosystem/.agent/plans/external/ooc-api-wishlist/15-bulk-download-examples.md	B5-Historical-Provenance	1	provenance-only
/Users/jim/code/oak/oak-mcp-ecosystem/.agent/plans/external/ooc-api-wishlist/05-medium-priority-requests.md	B5-Historical-Provenance	1	provenance-only
/Users/jim/code/oak/oak-mcp-ecosystem/.agent/plans/external/ooc-api-wishlist/01-derived-fields-and-ks4-metadata.md	B5-Historical-Provenance	1	provenance-only
/Users/jim/code/oak/oak-mcp-ecosystem/.agent/plans/external/ooc-api-wishlist/00-overview-and-known-issues.md	B5-Historical-Provenance	1	provenance-only
/Users/jim/code/oak/oak-mcp-ecosystem/.agent/plans/external/castr/README.md	B5-Historical-Provenance	1	provenance-only
/Users/jim/code/oak/oak-mcp-ecosystem/.agent/plans/archive/completed/workspace-structure-options.md	B5-Historical-Provenance	1	provenance-only
/Users/jim/code/oak/oak-mcp-ecosystem/.agent/plans/archive/completed/architectural-refinements-plan.md	B5-Historical-Provenance	1	provenance-only
/Users/jim/code/oak/oak-mcp-ecosystem/.agent/memory/distilled.md	B5-Historical-Provenance	1	provenance-only
/Users/jim/code/oak/oak-mcp-ecosystem/.agent/experience/README.md	B5-Historical-Provenance	1	provenance-only
/Users/jim/code/oak/oak-mcp-ecosystem/.agent/analysis/transcript-availability-analysis.md	B5-Historical-Provenance	1	provenance-only
/Users/jim/code/oak/oak-mcp-ecosystem/.agent/analysis/curriculum-structure-analysis.md	B5-Historical-Provenance	1	provenance-only
/Users/jim/code/oak/oak-mcp-ecosystem/.agent/analysis/category-availability-by-subject.md	B5-Historical-Provenance	1	provenance-only
