path_current	path_target	boundary_from	boundary_to	rationale	ref_updates_required
docs/README.md	docs/README.md	B0-Foundation	B0-Foundation	Retain root gateway as cross-boundary navigation hub	rg -l 'docs/(agent-guidance|data|development|quick-start|VISION|curriculum-guide)' docs README.md .agent | xargs sed-update
docs/agent-guidance/README.md	docs/governance/README.md	B1-Governance	B1-Governance	Make governance boundary explicit in path	rg -l 'docs/agent-guidance/README.md|docs/agent-guidance/' docs .agent README.md | xargs sed-update
docs/agent-guidance/ai-agent-guide.md	docs/governance/ai-agent-guide.md	B1-Governance	B1-Governance	Co-locate agent governance guidance	rg -l 'docs/agent-guidance/ai-agent-guide.md|docs/agent-guidance/' docs .agent README.md | xargs sed-update
docs/agent-guidance/curriculum-tools-guidance-and-playbooks.md	docs/governance/curriculum-tools-guidance-and-playbooks.md	B1-Governance	B1-Governance	Keep deterministic guidance policies in governance area	rg -l 'docs/agent-guidance/curriculum-tools-guidance-and-playbooks.md|docs/agent-guidance/' docs .agent README.md | xargs sed-update
docs/agent-guidance/development-practice.md	docs/governance/development-practice.md	B1-Governance	B1-Governance	Align development rules docs with governance boundary	rg -l 'docs/agent-guidance/development-practice.md|docs/agent-guidance/' docs .agent README.md | xargs sed-update
docs/agent-guidance/logging-guidance.md	docs/governance/logging-guidance.md	B1-Governance	B1-Governance	Consolidate operational policy guidance under governance	rg -l 'docs/agent-guidance/logging-guidance.md|docs/agent-guidance/' docs .agent README.md | xargs sed-update
docs/agent-guidance/safety-and-security.md	docs/governance/safety-and-security.md	B1-Governance	B1-Governance	Place safety policy in governance namespace	rg -l 'docs/agent-guidance/safety-and-security.md|docs/agent-guidance/' docs .agent README.md | xargs sed-update
docs/agent-guidance/typescript-practice.md	docs/governance/typescript-practice.md	B1-Governance	B1-Governance	Keep language policy docs together	rg -l 'docs/agent-guidance/typescript-practice.md|docs/agent-guidance/' docs .agent README.md | xargs sed-update
docs/agent-guidance/understanding-agent-references.md	docs/governance/understanding-agent-references.md	B1-Governance	B1-Governance	Keep agent-reference process docs co-located	rg -l 'docs/agent-guidance/understanding-agent-references.md|docs/agent-guidance/' docs .agent README.md | xargs sed-update
docs/curriculum-guide.md	docs/domain/curriculum-guide.md	B3-Domain-Data	B3-Domain-Data	Domain semantics should live under explicit domain boundary	rg -l 'docs/curriculum-guide.md' docs .agent README.md | xargs sed-update
docs/data/README.md	docs/domain/README.md	B3-Domain-Data	B3-Domain-Data	Create single domain index and reduce split ownership	rg -l 'docs/data/README.md|docs/data/' docs .agent README.md | xargs sed-update
