collection	lane	has_fm	st	ty	path
agent-tooling	active	y	"WS0–WS6 COMPLETE (2026-06-13, Bluebell mends Mulch / c2ef19, successor to Kayak herds Ballast): research first-hand-verified across all three lenses; the §11 re-verify list closed first-hand (6 anchors promoted to FH, 4 stale figures corrected); WS5 rotation-strategy proposal authored, two-round adversarially reviewed, and put to the owner as a decision; WS6 comprehensive synthesis authored fronting the full artefact set. WS7 (archive-not-delete execution) is OWNER-GATED — fires only on owner ratification of the WS5 proposal. Plan claims complete only at ws0–ws7."	<none>	.agent/plans/agent-tooling/active/comms-corpus-research-and-rotation-strategy.plan.md
agent-tooling	current	y	<none>	<none>	.agent/plans/agent-tooling/current/agent-artefact-lifecycle-cli.plan.md
agent-tooling	current	y	<none>	<none>	.agent/plans/agent-tooling/current/agent-artefact-load-pressure-relief.plan.md
agent-tooling	current	y	🟡 PLANNING	<none>	.agent/plans/agent-tooling/current/agent-commands-retirement.plan.md
agent-tooling	current	y	<none>	<none>	.agent/plans/agent-tooling/current/agent-infrastructure-portability-remediation.plan.md
agent-tooling	current	y	<none>	<none>	.agent/plans/agent-tooling/current/agent-naming-schema-v3.plan.md
agent-tooling	current	y	READY FOR EXECUTION (Phase 0 first; implementation scope ratified at the Phase-0 gate)	<none>	.agent/plans/agent-tooling/current/agent-tools-cli-ergonomics.plan.md
agent-tooling	current	y	"PENDING — opened 2026-06-13 (Skylark wakes Summit) after the collaboration-state schema-fixture + check/preflight IO was cleared (commits a1fb8e9c4, 5c01ee7ee, 221ee4a9f). These remaining files are pre-existing and span unrelated areas (codex, runtime-agent-index, context-cost); owner directed (2026-06-13) that refactoring product code to add testability seams is the correct fix, not deferral."	<none>	.agent/plans/agent-tooling/current/agent-tools-test-io-compliance.plan.md
agent-tooling	current	y	<none>	<none>	.agent/plans/agent-tooling/current/collaboration-doc-fitness-remediation.plan.md
agent-tooling	current	y	<none>	<none>	.agent/plans/agent-tooling/current/collaboration-identity-doctrine-enforcement-remediation.plan.md
agent-tooling	current	y	<none>	<none>	.agent/plans/agent-tooling/current/collaboration-state-write-safety.plan.md
agent-tooling	current	y	current	executable	.agent/plans/agent-tooling/current/comms-event-write-integrity.plan.md
agent-tooling	current	y	current	executable	.agent/plans/agent-tooling/current/comms-watch-hang-hardening.plan.md
agent-tooling	current	y	<none>	<none>	.agent/plans/agent-tooling/current/comms-watch-storage-redesign.plan.md
agent-tooling	current	y	<none>	<none>	.agent/plans/agent-tooling/current/context-cost-cli.plan.md
agent-tooling	current	y	<none>	<none>	.agent/plans/agent-tooling/current/cost-of-collaboration.plan.md
agent-tooling	current	y	<none>	<none>	.agent/plans/agent-tooling/current/human-composer-tui.plan.md
agent-tooling	current	y	current	quality-fix	.agent/plans/agent-tooling/current/markdown-link-remediation.plan.md
agent-tooling	current	y	current	executable	.agent/plans/agent-tooling/current/mcp-server-testing-tools.plan.md
agent-tooling	current	y	<none>	<none>	.agent/plans/agent-tooling/current/multi-agent-collaboration-protocol-concept-home-refinement.plan.md
agent-tooling	current	y	<none>	<none>	.agent/plans/agent-tooling/current/multi-agent-collaboration-protocol.plan.md
agent-tooling	current	y	<none>	<none>	.agent/plans/agent-tooling/current/multi-agent-collaboration-sidebar-and-escalation.plan.md
agent-tooling	current	y	<none>	<none>	.agent/plans/agent-tooling/current/multi-checkout-merge-handling-for-fitness-files.plan.md
agent-tooling	current	y	<none>	<none>	.agent/plans/agent-tooling/current/n-agent-collaboration-experiments.plan.md
agent-tooling	current	y	<none>	<none>	.agent/plans/agent-tooling/current/pdr-080-comms-log-care-phenotype.plan.md
agent-tooling	current	y	current	quality-fix	.agent/plans/agent-tooling/current/pr-102-snagging.plan.md
agent-tooling	current	y	"QUEUED — owner-directed 2026-06-13 (design ratified in-session; owner chose 'capture as a plan only'; owner enables branch-protection layer directly)"	<none>	.agent/plans/agent-tooling/current/pr-merge-readiness-discipline.plan.md
agent-tooling	current	y	<none>	<none>	.agent/plans/agent-tooling/current/primary-agent-tooling-enhancements.plan.md
agent-tooling	current	y	<none>	<none>	.agent/plans/agent-tooling/current/session-and-team-state-statusline-icons.plan.md
agent-tooling	current	y	<none>	<none>	.agent/plans/agent-tooling/current/skills-standardisation-and-adapter-generator.plan.md
agent-tooling	current	y	<none>	<none>	.agent/plans/agent-tooling/current/start-right-team-singleton-lane-remediation.plan.md
