id	path	boundary	category	severity	status	evidence	impact	remediation	related_paths
DF-001	docs/README.md	B0-Foundation	link-integrity	S1	resolved	Pre-remediation root index linked to missing property-graph source path.	Canonical root docs page pointed to a dead domain-truth file path.	Repointed to packages/sdks/oak-sdk-codegen/src/mcp/property-graph-data.ts and clarified source-of-truth intent.	packages/sdks/oak-sdk-codegen/src/mcp/property-graph-data.ts
DF-002	docs/domain/DATA-VARIANCES.md; docs/domain/README.md	B3-Domain-Data	link-integrity	S1	resolved	Pre-remediation data docs linked to moved/missing SDK files.	Domain-data docs could not trace claims to live source artefacts.	Repointed property graph and api-schema links to current oak-sdk-codegen paths.	packages/sdks/oak-sdk-codegen/src/mcp/property-graph-data.ts; packages/sdks/oak-sdk-codegen/src/types/generated/api-schema/api-schema-sdk.json
DF-003	docs/architecture/programmatic-tool-generation.md; docs/architecture/openai-connector-deprecation.md; docs/domain/DATA-VARIANCES.md; docs/domain/README.md	B2-Architecture; B3-Domain-Data	broken-provenance-links	S2	resolved	Pre-remediation links targeted missing plan leaf files.	Provenance links dead-ended and reduced auditability.	Replaced volatile leaf-plan links with stable plan indexes (plans README/completed/semantic-search index).	.agent/plans/README.md; .agent/plans/completed-plans.md; .agent/plans/semantic-search/README.md
DF-004	docs/README.md	B0-Foundation	stale-metadata	S2	resolved	Root index hard-coded an ADR count.	Entry-point factual drift lowered trust in docs accuracy.	Removed hard-coded ADR count wording.	docs/architecture/architectural-decisions/
DF-005	docs/architecture/provider-contracts.md; docs/architecture/provider-system.md; docs/architecture/README.md; docs/README.md	B2-Architecture; B0-Foundation	stale-architecture-surface	S1	resolved	Provider docs were marked stale while still promoted in active indexes.	Architecture onboarding route pointed to known-stale guidance.	Fully rewrote provider docs to current app-local composition roots and updated architecture/root indexes.	apps/oak-curriculum-mcp-stdio/src/app/wiring.ts; apps/oak-curriculum-mcp-streamable-http/src/application.ts
DF-006	docs/architecture/programmatic-tool-generation.md	B2-Architecture	implementation-drift	S1	resolved	"File Structure (current)" referenced non-existent paths.	Readers could implement against non-existent runtime surfaces.	Replaced with live oak-sdk-codegen and app runtime registration paths; retained obsolete paths only as historical notes.	packages/sdks/oak-sdk-codegen/code-generation/typegen/mcp-tools; packages/sdks/oak-sdk-codegen/src/types/generated/api-schema/mcp-tools
DF-007	docs/foundation/quick-start.md; docs/domain/DATA-VARIANCES.md	B0-Foundation; B3-Domain-Data	cross-doc-consistency	S2	resolved	Quick-start pattern count conflicted with DATA-VARIANCES.	Inconsistent domain summary could mislead discovery and ingestion choices.	Updated quick-start to 7 structural patterns to match DATA-VARIANCES.	docs/foundation/quick-start.md; docs/domain/DATA-VARIANCES.md
DF-008	docs/foundation/quick-start.md; docs/domain/README.md; docs/domain/DATA-VARIANCES.md; docs/foundation/onboarding.md	B0-Foundation; B3-Domain-Data; B4-Engineering-Operations	domain-term-conflict	S1	resolved	KS4 docs used pathway/pathways as canonical wording.	Terminology mismatch created an incorrect downstream mental model.	Standardised on API-accurate `ks4Options`; retained pathway only as explicitly historical caveat.	docs/domain/DATA-VARIANCES.md; packages/sdks/oak-curriculum-sdk/src/mcp/ontology-data.ts
DF-009	docs/engineering/workflow.md; docs/foundation/onboarding.md; docs/governance/development-practice.md	B4-Engineering-Operations	governance-alignment	S2	resolved	Aggregate command guidance lacked directive-precedence clarification.	Agents and humans could follow diverging verification flows.	Added explicit precedence notes: directives govern agent one-gate-at-a-time execution; aggregate commands remain convenience for local human workflows.	.agent/prompts/start-right-thorough.prompt.md; .agent/directives/AGENT.md
DF-010	docs/domain/curriculum-guide.md; docs/README.md; docs/domain/README.md	B0-Foundation; B3-Domain-Data	boundary-ownership	S3	resolved	Boundary-led move wave executed with explicit boundary entrypoint metadata and canonical boundary index docs.	Boundary ownership and navigation ambiguity reduced through explicit boundary structure and frontmatter authority markers.	Applied move-proposals, added boundary entrypoint metadata (`boundary`, `doc_role`, `authority`, `status`, `last_reviewed`), and validated root gateway continuity.	docs/README.md; docs/foundation/README.md; docs/governance/README.md; docs/architecture/README.md; docs/domain/README.md; docs/engineering/README.md; docs/operations/README.md
DF-011	docs/foundation/onboarding.md; docs/architecture/openapi-pipeline.md; docs/domain/DATA-VARIANCES.md	B4-Engineering-Operations; B2-Architecture; B3-Domain-Data	freshness-visibility	S2	resolved	High-centrality docs had missing or inconsistent freshness markers.	Reviewers could not rapidly triage freshness risk.	Added consistent Last Updated/Status markers to onboarding and openapi pipeline; data variances already carried markers and was refreshed.	output/doc-centrality-by-refs-in.tsv
DF-012	docs/architecture/README.md; docs/domain/DATA-VARIANCES.md; docs/domain/README.md	B2-Architecture; B3-Domain-Data	provenance-coupling	S2	resolved	Active docs linked directly to volatile plan leaves.	Active docs were tightly coupled to unstable provenance locations.	Routed provenance references through stable plan indexes and removed dead leaf-link coupling in targeted docs.	.agent/plans/README.md; .agent/plans/completed-plans.md; .agent/plans/semantic-search/README.md
